SGO Report ID,SGO Report Version,SGO Amendment,Year Month,State,County,Road Type,Crash Type,Is NHTSA Reportable In-Transport,Is NHTSA Reportable In-Transport Delta-V Less than 1 MPH,Is Police-Reported,Is Any-Injury-Reported,Is Any Vehicle Airbag Deployment,Is Ego Vehicle Airbag Deployment,Is Suspected Serious Injury+,Is Any Fatal Injury,Incident Date,Location Address / Description,Zip Code
30270-13564,1,Amendment 3,202512,California,San Francisco,Surface Street,Cyclist,True,False,False,False,False,False,False,False,12/28/2025,Polk Street at Pacific Avenue,94109
30270-13557,1,Amendment 3,202512,Georgia,Fulton,Surface Street,V2V Backing,True,False,False,False,False,False,False,False,12/31/2025,Armour Drive NE near Plasters Avenue,30324
30270-13554,1,Amendment 3,202512,California,San Mateo,Surface Street,V2V F2R,True,False,False,False,False,False,False,False,12/29/2025,Airport Boulevard near Grand Avenue,94080
30270-13549,1,Amendment 3,202512,California,Los Angeles,Surface Street,V2V F2R,True,False,False,False,False,False,False,False,12/29/2025,Montana Avenue at S. Barrington Avenue,90049
30270-13548,1,Amendment 3,202512,Arizona,Maricopa,Surface Street,V2V Lateral,True,False,False,False,False,False,False,False,12/24/2025,N. 56th Street at E. Lafayette Boulevard,85018
30270-13542,1,Amendment 3,202512,Arizona,Maricopa,Surface Street,V2V Backing,True,True,False,False,False,False,False,False,12/31/2025,parking lot at 291 E. Buckeye Road,85004
30270-13541,1,Amendment 3,202512,California,San Francisco,Surface Street,V2V Lateral,True,True,False,False,False,False,False,False,12/31/2025,Gough Street near Ivy Street,94102
30270-13540,1,Amendment 3,202512,California,Los Angeles,Surface Street,V2V Head-on,True,True,False,False,False,False,False,False,12/31/2025,parking lot at 388 S. Hill Street,90013
30270-13539,1,Amendment 3,202512,California,San Francisco,Surface Street,V2V Head-on,True,True,True,False,False,False,False,False,12/31/2025,Eddy Street at Taylor Street,94102
30270-13538,1,Amendment 3,202512,California,Los Angeles,Surface Street,All Others,True,True,False,False,False,False,False,False,12/31/2025,Holloway Drive near Santa Monica Boulevard,90069
30270-13515,1,Amendment 3,202512,Texas,Travis,Surface Street,V2V Backing,True,False,True,False,False,False,False,False,12/23/2025,Airport Boulevard near Zach Scott Street,78723
30270-13514,1,Amendment 3,202512,California,San Francisco,Surface Street,Single Vehicle,True,True,False,False,False,False,False,False,12/29/2025,Athens Street near Russia Avenue,94112
30270-13513,1,Amendment 3,202512,Arizona,Maricopa,Surface Street,V2V Backing,True,False,False,False,False,False,False,False,12/29/2025,parking lot at 291 E. Buckeye Road,85004
30270-13512,1,Amendment 3,202512,California,Los Angeles,Surface Street,V2V Head-on,True,True,False,False,False,False,False,False,12/29/2025,Avocado Street near Hillhurst Avenue,90027
30270-13511,1,Amendment 3,202512,California,Los Angeles,Surface Street,V2V Lateral,True,True,False,False,False,False,False,False,12/21/2025,Blackburn Avenue near La Cienega Boulevard,90048
30270-13510,1,Amendment 3,202512,California,San Francisco,Surface Street,V2V Lateral,True,False,False,False,False,False,False,False,12/22/2025,1st Street near Folsom Street,94105
30270-13509,1,Amendment 3,202512,California,San Francisco,Surface Street,Single Vehicle,True,True,False,False,False,False,False,False,12/25/2025,23rd Street near Rhode Island Street,94107
30270-13507,1,Amendment 3,202512,California,San Mateo,Surface Street,V2V Intersection,True,True,True,False,False,False,False,False,12/29/2025,Valley Drive at a parking lot entrance at 453 Valley Drive,94005
30270-13506,1,Amendment 3,202512,Georgia,Fulton,Surface Street,Single Vehicle,True,True,True,False,False,False,False,False,12/27/2025,Roxboro Road at Lenox Park Boulevard NE,30319
30270-13495,1,Amendment 3,202512,California,San Francisco,Surface Street,V2V F2R,True,False,True,True,False,False,False,False,12/29/2025,Mission Street near 7th Street,94103
30270-13491,1,Amendment 3,202512,California,Los Angeles,Surface Street,V2V Lateral,True,False,True,True,False,False,False,False,12/28/2025,S. Bentley Avenue near Tennessee Avenue,90064
30270-13490,1,Amendment 3,202512,California,Los Angeles,Surface Street,V2V F2R,True,False,True,True,True,False,False,False,12/26/2025,S. Los Angeles Street near Toyo Miyatake Way,90012
30270-13489,1,Amendment 3,202512,Arizona,Maricopa,Surface Street,V2V Backing,True,False,False,False,False,False,False,False,12/26/2025,a parking lot at 8701 E. McDowell Road,85257
30270-13488,1,Amendment 3,202512,Georgia,Fulton,Surface Street,V2V Intersection,True,False,True,True,False,False,False,False,12/25/2025,16th Street NW at Fowler Street NW,30363
30270-13487,1,Amendment 3,202512,Texas,Travis,Surface Street,Single Vehicle,True,False,False,False,False,False,False,False,12/24/2025,parking lot driveway entrance on West Stassney Lane near Menchaca Road,78745
30270-13486,1,Amendment 3,202512,California,San Francisco,Surface Street,V2V F2R,True,False,True,False,False,False,False,False,12/24/2025,Bayshore Boulevard at the intersection with Jerrold Avenue and the off-ramp freeway exit 432 of US-101 North,94124
30270-13485,1,Amendment 3,202512,Texas,Travis,Surface Street,Single Vehicle,True,False,False,False,False,False,False,False,12/24/2025,parking lot driveway entrance on West Stassney Lane near Menchaca Road,78745
30270-13484,1,Amendment 3,202512,California,Los Angeles,Surface Street,V2V Intersection,True,False,False,False,False,False,False,False,12/23/2025,West Hyde Park Boulevard at Glenway Drive,90302
30270-13467,1,Amendment 3,202512,Arizona,Maricopa,Surface Street,Single Vehicle,True,False,False,False,False,False,False,False,12/22/2025,parking lot at 1843 E. Southern Avenue,85282
30270-13454,1,Amendment 3,202512,California,San Francisco,Surface Street,V2V Lateral,True,True,False,False,False,False,False,False,12/10/2025,Powell Street at California Street,94108
30270-13453,1,Amendment 3,202512,California,Santa Clara,Surface Street,V2V Backing,True,True,True,False,False,False,False,False,12/22/2025,Page Mill Road near Deer Creek Road,94304
30270-13452,1,Amendment 3,202512,Arizona,Maricopa,Surface Street,V2V Backing,True,False,False,False,False,False,False,False,12/22/2025,parking lot at 291 E. Buckeye Road,85004
30270-13451,1,Amendment 3,202512,California,San Francisco,Surface Street,V2V Head-on,True,True,False,False,False,False,False,False,12/19/2025,Hampshire Street and 21st Street,94110
30270-13450,1,Amendment 3,202512,California,San Francisco,Surface Street,V2V Lateral,True,True,False,False,False,False,False,False,12/19/2025,Jessie Street near Annie Street,94105
30270-13449,1,Amendment 3,202512,Texas,Travis,Surface Street,V2V F2R,True,False,True,False,True,False,False,False,12/21/2025,E. 7th Street at S. I-35 Frontage Road,78701
30270-13448,1,Amendment 3,202512,California,Los Angeles,Surface Street,V2V Backing,True,False,False,False,False,False,False,False,12/13/2025,W. 59th Street near Flores Avenue,90056
30270-13447,1,Amendment 3,202512,California,San Mateo,Surface Street,Single Vehicle,True,True,True,False,False,False,False,False,12/19/2025,Valley Drive near Bayshore Boulevard,94005
30270-13445,1,Amendment 3,202512,California,Santa Clara,Surface Street,V2V Backing,False,False,False,False,False,False,False,False,12/01/2025,Waverley Street near Lincoln Avenue,94301
30270-13444,1,Amendment 3,202512,California,Los Angeles,Surface Street,V2V Head-on,True,False,False,False,False,False,False,False,12/19/2025,S. Holt Avenue near Sawyer Street,90034
30270-13443,1,Amendment 3,202512,California,Los Angeles,Surface Street,Single Vehicle,True,True,False,False,False,False,False,False,12/19/2025,Edgewood Place near S. Rimpau Boulevard,90019
30270-13442,1,Amendment 3,202512,California,San Francisco,Surface Street,V2V F2R,True,False,False,False,False,False,False,False,12/18/2025,Mission Street at Bosworth Street,94112
30270-13420,1,Amendment 3,202512,California,Santa Clara,Surface Street,V2V F2R,True,False,False,False,False,False,False,False,12/16/2025,Homer Avenue at High Street,94301
30270-13416,1,Amendment 3,202512,California,San Francisco,Surface Street,V2V F2R,True,False,False,False,False,False,False,False,12/10/2025,15th Street at Dolores Street,94103
